kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,stringnamagerakan
0,0,1,0,0,5,1,6,5,2,7,8,7,8,7,4,8,7,0,5,1,0,0,5,7,5,6,0,7,7,7,7,7,6,7,7,Perut,Dada,Badan
8,7,8,0,0,8,0,7,7,8,5,7,8,7,7,7,7,8,0,1,3,7,1,0,7,0,7,7,6,7,7,7,7,7,7,7,Perut,Perut,Badan
0,0,0,3,1,1,7,7,7,7,7,8,0,4,7,7,7,7,0,1,5,1,5,7,7,1,1,7,7,7,7,6,7,8,7,7,Perut,Perut,Badan
0,0,8,4,8,4,7,7,7,5,7,7,7,5,7,7,7,0,0,0,1,5,1,6,0,7,7,6,7,7,7,6,7,0,1,0,Perut,Perut,Badan
7,8,8,8,4,8,7,7,7,8,7,0,3,7,8,8,0,0,1,0,0,0,5,0,7,7,7,7,7,7,6,7,7,7,7,1,Perut,Perut,Badan
0,0,0,1,8,8,5,4,0,4,7,7,8,3,0,7,6,7,0,0,0,6,1,7,6,5,0,5,7,7,7,5,7,0,5,7,Perut,Perut,Badan
7,4,8,8,8,8,3,8,0,7,7,5,4,4,7,7,8,8,0,5,1,1,1,7,6,1,5,7,7,5,5,5,7,1,8,0,Perut,Perut,Badan
8,0,0,0,3,1,7,8,3,8,6,7,8,8,0,7,7,7,0,5,5,1,1,4,7,7,5,7,6,7,0,7,7,7,8,7,Perut,Perut,Badan
7,7,8,0,0,8,8,7,8,7,8,8,7,7,8,8,8,8,0,0,0,3,1,0,7,7,1,7,7,7,7,7,7,7,7,8,Perut,Perut,Badan
0,0,0,0,0,8,0,7,7,8,7,8,7,8,4,0,7,3,0,5,1,0,1,7,7,7,1,1,7,7,7,0,6,7,7,5,Perut,Perut,Badan
0,1,1,1,8,7,8,8,0,7,7,7,8,3,7,7,7,0,0,0,5,0,0,7,1,7,8,0,0,8,8,6,7,0,7,0,Perut,Perut,Badan
0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,6,5,Dada,Dada,Rujuk
0,0,0,0,0,1,1,1,8,1,0,1,4,0,7,0,7,3,0,0,0,0,5,3,5,4,0,6,5,0,5,5,0,5,0,4,Dada,Dada,Rujuk
0,0,0,1,0,1,2,1,1,2,0,4,1,4,1,1,1,1,0,0,0,0,0,5,5,0,5,3,5,5,0,5,5,5,5,5,Dada,Dada,Rujuk
0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,1,1,0,0,0,0,0,0,5,5,0,5,0,5,5,5,5,5,0,0,0,Dada,Dada,Rujuk
0,0,1,4,1,1,0,1,4,1,1,0,0,1,1,1,3,0,0,0,5,5,0,5,5,5,5,5,5,7,5,0,0,5,5,4,Dada,Dada,Rujuk
0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,5,3,5,5,5,5,5,0,0,5,0,0,5,5,5,5,0,Dada,Dada,Rujuk
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,4,5,5,0,0,5,5,0,0,0,5,Dada,Dada,Rujuk
0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,5,0,0,5,0,6,5,0,0,0,5,5,0,5,5,5,Dada,Dada,Rujuk
0,8,0,0,1,1,4,1,4,1,1,1,1,1,0,3,0,1,5,0,5,0,5,5,5,5,5,5,0,0,0,0,5,5,5,5,Dada,Dada,Rujuk
0,0,0,0,1,0,3,1,1,0,1,1,1,1,1,1,1,3,0,0,0,5,5,5,5,0,5,5,5,5,0,5,5,7,0,5,Dada,Dada,Rujuk
0,0,0,0,1,0,0,0,1,1,0,1,3,1,1,1,1,1,0,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,7,0,Dada,Dada,Rujuk
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,Perut,Perut,Samping
3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,5,1,7,1,8,3,1,1,1,1,1,1,Perut,Perut,Samping
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,8,1,0,7,7,1,1,1,1,1,1,2,1,1,Perut,Perut,Samping
